FSFA_Diffusion_Pre_nondev_010
Sample31
GC / MS DATA FILE
9/22/2011 9:04:00 AM

Young-Mo Kim
GCMSD_1
SpectrumDescription	Minutes	BPI	TIC
SpectrumIndex 221 at 6.73 minutes; base peak 948.45 m/z with intensity 1140; TIC = 6435	6.73	1140	6435
SpectrumIndex 222 at 6.73 minutes; base peak 953.05 m/z with intensity 1420; TIC = 9231	6.73	1420	9231
SpectrumIndex 223 at 6.74 minutes; base peak 966.6 m/z with intensity 1696; TIC = 6979	6.74	1696	6979
SpectrumIndex 224 at 6.74 minutes; base peak 954.3 m/z with intensity 1698; TIC = 7571	6.74	1698	7571
SpectrumIndex 225 at 6.74 minutes; base peak 955.15 m/z with intensity 1698; TIC = 7571	6.74	1698	7571
SpectrumIndex 226 at 6.74 minutes; base peak 948.05 m/z with intensity 898; TIC = 6375	6.74	898	6375
SpectrumIndex 227 at 6.75 minutes; base peak 957.1 m/z with intensity 900; TIC = 7197	6.75	900	7197
SpectrumIndex 228 at 6.75 minutes; base peak 956.25 m/z with intensity 1694; TIC = 6981	6.75	1694	6981
SpectrumIndex 229 at 6.75 minutes; base peak 946.55 m/z with intensity 896; TIC = 5541	6.75	896	5541
SpectrumIndex 230 at 6.76 minutes; base peak 955 m/z with intensity 1096; TIC = 6435	6.76	1096	6435
SpectrumIndex 231 at 6.76 minutes; base peak 950.15 m/z with intensity 898; TIC = 5537	6.76	898	5537
SpectrumIndex 232 at 6.76 minutes; base peak 957.3 m/z with intensity 898; TIC = 5537	6.76	898	5537
SpectrumIndex 233 at 6.76 minutes; base peak 950.5 m/z with intensity 1176; TIC = 6975	6.76	1176	6975
SpectrumIndex 234 at 6.77 minutes; base peak 956 m/z with intensity 900; TIC = 6085	6.77	900	6085
SpectrumIndex 235 at 6.77 minutes; base peak 955.25 m/z with intensity 898; TIC = 5539	6.77	898	5539
